Nama Makanan,Ukuran Porsi,Kalori (kkal),Karbohidrat (g),Lemak (g),Protein (g)
kerang asap mentah,100,393,29.4,13.3,38.9
kerang dendeng mentah,100,357,25.6,10,41.1
rebon kering mentah,100,299,3.2,3.6,59.4
rebung laut mentah,100,320,63.3,4.2,7.2
sardines dalam kaleng,100,338,1,27,21.1
teripang dendeng mentah,100,462,3.5,32.4,39.1
udang kering mentah,100,278,2.2,4.1,62.6
udang papay mentah,100,273,12.5,3.8,47.8
abon haruwan,100,513,21.3,37,23.7
abon ikan,100,435,36.1,20.2,27.2
betok wadi masakan,100,145,4.1,7,16.3
bou ninahu ndamate masakan,100,79,1.1,1,6.3
bouiki ninahu nggaluku masakan,100,94,10.8,2.2,7.8
cakalang asar asap,100,155,10.2,3.8,20.1
dendeng belut goreng masakan,100,382,8,14.1,55.7
dendeng mujahir goreng masakan,100,598,9.2,26.9,74.3
fillet ofish,100,270,19.3,15.9,12.3
gete kuah asam masakan,100,75,6,2,8.2
gulai asam keueung masakan,100,52,1.8,0.5,10
gulai ikan paya masakan,100,148,5,9.8,10
gulai ikan masakan,100,106,2.5,3.3,16.5
gulai keumamah masakan,100,110,3.2,8.2,5.9
gulai tiram masakan,100,132,7.8,7.2,9
gurame asem manis masakan,100,192,12.7,10.1,12.7
ikan asar merah masakan,100,146,5.6,5.9,17.7
jambal goreng masakan,100,286,2.3,9.2,48.5
jukku pallu kaloa masakan,100,15,8.8,4.3,15.2
kaholeo masakan,100,413,29.8,19.8,28.7
lawara penjah,100,207,9.6,15.4,7.4
model masakan,100,79,8.6,4,2.2
mujahir acar kuning masakan,100,330,12.1,23.4,17.8
parede baleh masakan,100,87,5.5,2.5,10.5
pempek adaan masakan,100,162,27.8,3,4.9
pempek belida masakan,100,156,31.6,1.4,4.2
pempek kapal selam masakan,100,152,28.2,2.3,4.5
pempek kelesan masakan,100,211,26.6,6.1,12.3
pempek kulit masakan,100,243,39.1,7.3,5.2
pempek telur masakan,100,156,28.3,2.7,4.7
pempek tenggiri masakan,100,173,33.4,1.2,7.2
pencok lele masakan,100,372,3.5,36.3,7.8
pinda,100,107,0.4,0.6,15.9
pindang kenari masakan,100,124,0,9.6,9.5
saboko gurita masakan,100,87,2.6,1.5,15.7
saboko saltan masakan,100,113,3,3.6,17.1
saboko sardin masakan,100,110,4.9,4.3,12.9
sate bandeng,100,283,20.9,16.8,12.1
sepi masakan,100,88,10.6,1.6,7.9
tekwan masakan,100,53,9.4,0.9,1.9
teri belado masakan,100,365,17.5,22.3,23.7
tumis bandeng masakan,100,189,0.6,15.7,11.3
tumis keumamah,100,300,15.5,20,14.5
telur ayam kampung segar,100,174,1.2,14,10.8
telur ayam ras segar,100,154,0.7,10.8,12.4
telur ayam ras bagian kuning segar,100,355,0.7,31.9,16.3
telur ayam ras bagian putih segar,100,50,0.8,0,10.8
telur bebek alabio segar,100,187,3,14.2,11.8
telur bebek bagian kuning segar,100,386,0.8,35,17
telur bebek bagian putih segar,100,54,0.8,0,11
telur bebek tambak segar,100,187,7.9,12.4,10.9
telur burung maleo segar,100,436,0.4,36.3,26.5
telur penyu segar,100,136,2.7,10.1,8.6
telur burung puyuh segar,100,116,1.6,7,10.7
telur ayam dadar masakan,100,251,1.4,19.4,16.3
telur bebek asin mentah,100,179,4.4,13.3,13.6
telur bebek dadar masakan,100,301,0,23.7,20
ikan telur asin mentah,100,358,9.4,26.4,20.7
bayau mi balu masakan,100,313,44.8,12.2,6
cucuru bayau masakan,100,349,38.3,18.7,6.8
kalio telur masakan,100,193,9.7,12.4,10.6
kepala susu krim segar,100,204,4,20,2.6
susu ibu asi,100,62,7,3.2,1.5
susu kambing segar,100,64,6.6,2.3,4.3
susu kerbau segar,100,160,7.1,12,6.3
susu kuda segar,100,40,5.4,1.1,2
susu sapi segar,100,61,4.3,3.5,3.2
es krim,100,210,20.6,12.5,4
hangop,100,65,3.5,1,10
keju,100,326,13.1,20.3,22.8
kwark quark,100,242,3,17,19
susu asam untuk bayi bubuk,100,418,65.5,9,19
susu kental tak manis,100,138,9.9,7.9,7
susu skim segar,100,36,5.1,0.1,3.5
yoghurt segar,100,52,4,2.5,3.3
kelapa setengah tua daging segar,100,180,10,15,4
kelapa tua daging segar,100,359,14,34.7,3.4
lemak babi lard,100,902,0,100,0
lemak babi bacon,100,626,1.1,65,9.1
lemak ikan,100,372,14.4,29.4,12
lemak kerbau lemak sapi,100,818,0,90,1.5
minyak hiu hati,100,902,0,100,0
minyak ikan,100,902,0,100,0
minyak kacang tanah,100,902,0,100,0
minyak kedelai,100,883,0,99.9,0
minyak kelapa,100,870,0,98,1
minyak kelapa sawit,100,884,0,100,0
minyak wijen,100,881,0,99.7,0.2
margarin,100,720,0.4,81,0.6
mentega,100,742,1.4,81.6,0.5
santan dengan air,100,122,7.6,10,2
santan murni,100,324,5.6,34.3,4.2
coklat manis batang,100,527,62.7,29.8,2
coklat pahitbatang,100,615,29.2,42.6,5.5
coklat susu batang,100,565,53.6,35,9
gula kelapa,100,386,76,10,3
gula putih,100,394,94,0,0
jam selai,100,239,64.5,0.6,0.5
kopi bubuk instant,100,129,35,0.5,12.3
madu,100,294,79.5,0,0.3
markisa squash,100,217,49.6,1,2.5
markisa squash bd,100,104,23.7,0.5,1.2
sirup,100,213,55,0,0
sirup pirous,100,228,55.9,0.4,0.2
teh hijau daun kering,100,300,53.6,4.8,28.3
teh hitam daun kering,100,293,58.8,2.8,24.5
teh melati daun kering,100,299,59,3.5,24.1
asam arang coklat segar,100,130,30.9,1.1,0.5
asam arang merah segar,100,99,20.3,1.6,0.8
asan kandis kering,100,261,63.3,1.6,0.9
asam kandis segar,100,75,16.1,1.1,0.2
asam masak pohon segar,100,267,62.5,0.6,2.8
asam payak segar,100,135,32.1,0.4,0.8
bawang merah segar,100,46,9.2,0.3,1.5
bawang putih segar,100,112,23.1,0.2,4.5
boros kunci segar,100,40,7.2,0.8,1
boros laja lengkuas segar,100,26,4.7,0.3,1
cabai gembor merah segar,100,38,6.3,0.8,1.6
cabai hijau segar,100,26,5.2,0.3,0.7
cabai merah kering,100,367,61.8,6.2,15.9
cabai merah segar,100,36,7.3,0.3,1
cabai rawit segar,100,120,19.9,2.4,4.7
cengkeh kering,100,330,57.4,8.9,5.2
daun salam bubuk,100,301,49,10.9,14.2
jahe segar,100,51,10.1,1,1.5
kemiri,100,675,8,63,19
ketumbar kering,100,418,54.2,16.1,14.1
kluwek,100,310,13.5,24,10
kunyit segar,100,69,9.1,2.7,2
merica kering,100,365,64.4,6.8,11.5
pala biji kering,100,518,40.1,36.4,7.5
balichong,100,152,22.9,0.8,13.2
bekasam,100,116,6.1,4.9,11.9
bekasang,100,78,3.6,2,11.4
cuka,100,21,5,0.1,0.1
kecap,100,71,9,1.3,5.7
petis ikan,100,165,20.8,0.2,20
petis udang kering,100,345,59.3,1.4,23.8
petis udang pasta,100,220,38,0.9,15
saos tomat,100,110,24.5,0.4,2
tempoya,100,110,21.9,1.3,1.7
terasi dobo,100,191,6.6,3.6,33.1
terasi merah,100,174,5.6,3.5,30
kefir,100,52,7.34,0.92,3.59
susu kedelai chocolate,100,63,9.95,1.53,2.26
susu kedelai light chocolate,100,47,8.24,0.64,2.1
susu almond sweetened,100,38,6.59,1.04,0.42
susu almond sweetened chocolate,100,50,9.38,1.25,0.63
susu almond unsweetened,100,15,0.58,1.1,0.59
susu almond unsweetened chocolate,100,21,1.25,1.46,0.83
yogurt greek plain,100,73,3.94,1.92,9.95
yogurt greek whole milk plain,100,97,3.98,5,9
yogurt greek low fat milk plain,100,73,3.94,1.92,9.95
yogurt greek nonfat milk plain,100,59,3.6,0.39,10.19
yogurt greek fruit,100,103,11.89,2.57,8.17
yogurt greek whole milk fruit,100,106,12.29,3,7.33
yogurt greek low fat milk fruit,100,103,11.89,2.57,8.17
yogurt greek nonfat milk fruit,100,82,12.07,0.15,8.05
yogurt greek flavors other than fruit,100,95,9.54,2.5,8.64
yogurt greek whole milk flavors other than fruit,100,111,9.35,4.44,8.47
yogurt greek low fat milk flavors other than fruit,100,95,9.54,2.5,8.64
yogurt greek nonfat milk flavors other than fruit,100,78,10.37,0.18,8.64
yogurt greek with oats,100,154,23.81,3.14,8.65
cream light,100,191,2.82,19.1,2.96
cream half and half,100,123,4.73,10.39,3.13
cream half and half flavored,100,122,4.92,10.19,3.07
cream half and half fat free,100,59,9,1.4,2.6
cream heavy,100,340,2.74,36.08,2.84
cream whipped,100,343,8.49,33.94,2.67
keju blue or roquefort,100,353,2.34,28.74,21.4
keju brick,100,371,2.79,29.68,23.24
keju brie,100,334,0.45,27.68,20.75
keju cheddar reduced fat,100,309,4.06,20.41,27.35
keju cheddar nonfat or fat free,100,157,7.14,0,32.14
keju colby,100,394,2.57,32.11,23.76
keju colby jack,100,384,1.62,31.2,24.12
keju fontina,100,389,1.55,31.14,25.6
keju susu kambing,100,360,0.76,28.85,23.52
keju gouda or edam,100,357,1.67,27.69,24.98
keju gruyere,100,413,0.36,32.34,29.81
keju limburger,100,327,0.49,27.25,20.05
keju monterey,100,373,0.68,30.28,24.48
keju monterey reduced fat,100,313,0.7,21.6,28.2
keju mozzarella,100,295,5.58,19.78,23.75
keju mozzarella whole milk,100,300,2.19,22.35,22.17
keju mozzarella part skim,100,295,5.58,19.78,23.75
keju mozzarella reduced sodium,100,280,3.1,17.1,27.5
keju mozzarella nonfat or fat free,100,141,3.5,0,31.7
keju muenster,100,368,1.12,30.04,23.41
keju muenster reduced fat,100,271,3.5,17.6,24.7
keju parmesan dry grated,100,420,13.91,27.84,28.42
keju parmesan dry grated reduced fat,100,395,26.96,16.42,34.21
keju parmesan hard,100,392,3.22,25.83,35.75
keju parmesan dry grated fat free,100,370,40,5,40
keju port du salut,100,356,2.22,27.44,24.94
keju provolone,100,351,2.14,26.62,25.58
keju provolone reduced fat,100,274,3.5,17.6,24.7
keju swiss,100,393,1.44,30.99,26.96
keju swiss reduced sodium,100,374,3.4,27.4,28.4
keju swiss reduced fat,100,179,3.4,5.1,28.4
keju swiss nonfat or fat free,100,127,3.4,0,28.4
keju cheddar reduced sodium,100,398,1.91,32.62,24.35
keju mexican blend,100,358,1.75,28.51,23.54
keju mexican blend reduced fat,100,282,3.41,19.4,24.69
pork bagian perut mentah,100,518,0,53,9.3
domba dimasak,100,292,0,20.77,24.32
irisan daging domba dimasak,100,313,0,22.89,24.96
domba bagian lengan atas,100,274,0,19.8,22.32
domba bagian lengan atas kurus,100,202,0,10.68,24.73
domba bagian iga dimasak,100,233,0,12.84,27.51
domba bagian iga dimasak kurus,100,358,0,29.34,21.95
domba panggang,100,265,0,18.07,23.83
domba panggang kurus,100,196,0,9.18,26.4
kambing boiled,100,142,0,3,26.87
kambing fried,100,153,0,4.52,26.46
kambing baked,100,142,0,3,26.87
kepala kambing dimasak,100,144,0.48,5.46,21.82
kambing bagian iga dimasak,100,142,0,3,26.87
hati sapi direbus,100,189,5.09,5.22,28.84
hati sapi digoreng,100,174,5.12,4.64,26.3
hati ayam direbus,100,166,0.86,6.46,24.26
hati ayam digoreng,100,189,6.41,8.66,19.98
jantung jeroan cooked,100,164,0.15,4.69,28.24
ginjal jeroan cooked,100,157,0,4.61,27.04
brains jeroan cooked,100,150,1.47,10.44,11.57
lidah sapi jeroan cooked,100,282,0,22.11,19.13
lidah sapi jeroan smoked cured or pickled cooked,100,277,0,21.74,18.8
babat dimasak,100,89,0,3.85,12.6
rahang babi dimasak,100,250,0,15.96,26.52
ampela sapi dimasak,100,153,0,2.66,30.14
salmon raw,100,127,0,4.4,20.5
salmon baked or broiled made with oil,100,188,0.1,9.06,25.08
salmon baked or broiled made with butter,100,183,0.1,8.48,25.08
salmon baked or broiled made with margarine,100,176,0.13,7.68,25.05
salmon baked or broiled made without fat,100,160,0.1,5.54,25.82
salmon baked or broiled made with cooking spray,100,164,0.2,5.92,25.72
salmon coated baked or broiled made with oil,100,235,12.52,10.45,21.43
salmon coated baked or broiled made with butter,100,227,12.5,9.56,21.44
salmon coated baked or broiled made with margarine,100,217,12.55,8.35,21.4
salmon coated baked or broiled made without fat,100,194,13.1,5.07,22.42
salmon coated baked or broiled made with cooking spray,100,197,13.14,5.35,22.35
salmon coated fried made with oil,100,253,9.85,14.08,20.5
salmon coated fried made with butter,100,238,9.86,12.44,20.57
salmon coated fried made with margarine,100,222,9.93,10.58,20.51
salmon coated fried made without fat,100,207,11.6,6.32,24.12
salmon coated fried made with cooking spray,100,209,11.64,6.61,24.05
salmon kukusrebus,100,160,0,5.53,25.78
salmon dried,100,397,0,13.75,64.06
salmon canned,100,137,0,5.48,20.55
salmon smoked,100,117,0,4.32,18.28
tuna fresh raw,100,109,0,0.49,24.4
tuna fresh baked or broiled fat added in cooking,100,166,0.1,4.28,29.85
tuna fresh baked or broiled fat not added in cooking,100,138,0.1,0.62,30.73
tuna fresh coated baked or broiled fat added in cooking,100,218,12.52,6.8,25.08
tuna fresh coated baked or broiled fat not added,100,177,13.1,1.25,26.22
tuna fresh coated fried,100,237,9.85,10.75,23.82
tuna fresh steamed or poached,100,137,0,0.62,30.68
tuna fresh dried,100,341,0,1.53,76.25
tuna fresh smoked,100,200,0,10.04,25.54
tuna canned oil pack,100,198,0,8.21,29.13
tuna canned water pack,100,86,0,0.96,19.44
gurita dimasak,100,222,12.16,11.63,16.3
gurita steamed kukus,100,163,4.37,2.07,29.62
gurita dried,100,311,8.34,3.94,56.52
gurita dried boiled,100,163,4.38,2.07,29.69
gurita smoked,100,164,4.4,2.08,29.82
cumicumi raw,100,92,3.08,1.38,15.58
cumicumi baked or broiled fat added in cooking,100,142,3.77,5.23,18.59
cumicumi baked or broiled fat not added in cooking,100,113,3.88,1.7,19.14
cumicumi coated baked or broiled fat added in cooking,100,198,15.01,7.44,16.42
cumicumi coated baked or broiled fat not added in cooking,100,156,15.7,2.06,17.17
cumicumi coated fried,100,231,12.94,11.93,16.89
cumicumi steamed or boiled,100,183,6.13,2.75,31.02
cumicumi dried,100,348,11.65,5.22,58.94
cumicumi pickled,100,93,2.96,1.32,14.93
cumicumi canned,100,106,3.54,1.59,17.9
oysters tiram raw,100,51,2.72,1.71,5.71
oysters tiram cooked,100,195,12.62,12.22,8.16
oysters tiram baked or broiled fat not added in cooking,100,63,3.44,2.1,7.02
oysters tiram steamed,100,102,5.42,3.4,11.37
oysters tiram coated fried,100,195,12.62,12.22,8.16
oysters tiram coated baked or broiled fat added in cooking,100,160,14.69,7.74,7.43
oysters tiram coated baked or broiled fat not added in cooking,100,117,15.36,2.38,7.77
oysters tiram canned,100,74,4.25,2.68,7.67
oysters tiram smoked,100,82,4.38,2.76,9.2
scallops kerang baked or broiled fat added in cooking,100,114,3.89,4.17,14.39
scallops kerang baked or broiled fat not added in cooking,100,85,4,0.6,14.81
scallops kerang steamed or boiled,100,137,6.33,0.98,24.01
scallops kerang coated fried,100,211,13.03,11.14,13.78
scallops kerang coated baked or broiled fat added in cooking,100,177,15.1,6.63,13.21
scallops kerang coated baked or broiled fat not added in cooking,100,134,15.8,1.22,13.82
almonds mentah,100,598,21.01,52.54,20.96
almonds unroasted,100,579,21.55,49.93,21.15
almonds salted,100,601,20.18,53.43,20.13
almonds lightly salted,100,604,20.28,53.7,20.23
almonds unsalted,100,607,20.38,53.96,20.33
almonds flavored,100,599,20.12,53.27,20.07
almonds honey roasted,100,575,35.92,45.27,14.11
kacang brazil,100,659,11.74,67.1,14.32
kacang metes unroasted,100,574,32.69,46.35,15.31
kacang metes salted,100,578,31.4,47.48,14.7
kacang metes lightly salted,100,580,31.55,47.72,14.78
kacang metes unsalted,100,583,31.71,47.96,14.85
kacang metes honey roasted,100,558,43.79,41.11,10.31
kacang kastanye chestnuts,100,245,52.96,2.2,3.17
hazelnut,100,628,16.7,60.75,14.95
macadamia,100,716,12.83,76.08,7.79
peanuts raw,100,587,21.26,49.66,24.35
peanuts boiled,100,318,21.26,22.01,13.5
peanuts unroasted,100,567,16.13,49.24,25.8
peanuts roasted salted,100,599,15.26,52.5,28.03
peanuts roasted unsalted,100,599,15.26,52.5,28.03
peanuts dry roasted salted,100,587,21.26,49.66,24.35
peanuts dry roasted lightly salted,100,584,21.15,49.41,24.23
peanuts dry roasted unsalted,100,587,21.26,49.66,24.35
peanuts honey roasted,100,572,30.07,45.21,20.7
pecans salted,100,690,13.31,72.09,8.81
pecans unsalted,100,697,13.44,72.81,8.9
pecans honey roasted,100,637,31.11,58.36,6.17
kacang pinus pine nut,100,673,13.08,68.37,13.69
kacang pistachio raw,100,572,28.28,45.82,21.05
kacang pistachio salted,100,576,27.16,46.98,20.22
kacang pistachio lightly salted,100,579,27.3,47.21,20.32
kacang pistachio unsalted,100,581,27.43,47.44,20.42
walnuts honey roasted,100,612,31.01,53.8,10.25
coconut water unsweetened,100,18,4.24,0,0.22
biji labu pumpkin seeds raw,100,574,14.71,49.05,29.84
biji labu pumpkin seeds salted,100,567,14.54,48.47,29.49
biji labu pumpkin seeds unsalted,100,574,14.71,49.05,29.84
biji bunga matahari sunflower seeds plain unsalted,100,582,24.07,49.8,19.33
biji bunga matahari sunflower seeds plain salted,100,575,23.78,49.21,19.1
biji bunga matahari sunflower seeds flavored,100,567,25.93,47.54,18.45
biji bunga matahari sunflower seeds mentahraw,100,582,24.07,49.8,19.33
tahini,100,595,21.19,53.76,17
flax seeds,100,534,28.88,42.16,18.29
mixed seeds,100,580,21.73,49.61,21.96
chia seeds,100,534,28.88,42.16,18.29
garlic bread from fast food restaurant,100,349,41.64,16.58,8.34
croissant,100,406,45.8,21,8.2
croissant keju,100,414,47,20.9,9.2
croissant chocolate,100,421,49.4,22.79,7.4
croissant fruit,100,396,46.99,19.78,7.77
tortilla plain,100,262,47.01,5.42,6.95
tortilla corn,100,218,44.64,2.85,5.7
tortilla flour,100,306,49.38,7.99,8.2
tortilla whole wheat,100,310,45.89,9.76,9.76
taco shell corn,100,476,63.49,21.79,6.41
taco shell flour,100,511,53.2,29.07,8.83
burrito with meat,100,242,14.44,14.48,13.03
burrito with meat and beans,100,229,17.83,12.46,11.36
burrito with meat and beans from fast food,100,180,23.37,6.8,7.03
burrito with meat and sour cream,100,236,13.09,15.15,11.57
burrito with meat beans and sour cream,100,225,16.06,13.39,10.16
burrito with meat beans and sour cream from fast food,100,209,26.78,7.86,8.56
burrito with meat beans and rice,100,223,18.52,11.66,10.79
burrito with meat beans rice and sour cream,100,219,16.76,12.63,9.73
burrito with chicken,100,242,16.57,12.01,16.9
burrito with chicken and beans,100,228,19.06,11.2,12.93
burrito with chicken and sour cream,100,235,14.66,13.19,14.59
burrito with chicken beans and sour cream,100,224,16.98,12.38,11.42
burrito with chicken beans and rice,100,221,19.72,10.42,12.2
burrito with chicken beans rice and sour cream,100,218,17.67,11.63,10.88
burrito with beans and rice meatless,100,211,21.5,9.89,9.32
burrito with beans meatless,100,217,21.04,10.56,9.78
burrito with beans meatless from fast food,100,205,31.23,6.05,7.35
burrito with beans rice and sour cream meatless,100,210,19.41,11.06,8.47
raisins raw,100,299,79.18,0.46,3.07
raisins cooked,100,219,57.38,0.21,1.43
cherries sweet raw,100,63,16.01,0.2,1.06
juneberry raw,100,57,14.49,0.33,0.74
kiwi fruit raw,100,61,14.66,0.52,1.14
lychee raw,100,66,16.53,0.44,0.83
peach raw,100,39,9.54,0.25,0.91
pear raw,100,57,15.23,0.14,0.36
pear japanese raw,100,42,10.65,0.23,0.5
persimmon raw,100,70,18.59,0.19,0.58
plum raw,100,46,11.42,0.28,0.7
plum cooked or canned,100,89,23.24,0.1,0.36
plum cooked or canned unsweetened water pack,100,41,11.03,0.01,0.39
plum cooked or canned in heavy syrup,100,89,23.24,0.1,0.36
plum cooked or canned in light syrup,100,63,16.28,0.1,0.37
plum cooked or canned drained solids,100,89,23.12,0.14,0.44
plum cooked or canned juice pack,100,58,15.15,0.02,0.51
plum pickled,100,123,30.8,0.19,0.48
berries raw,100,32,7.68,0.3,0.67
berries frozen,100,51,12.17,0.64,0.42
blackberries raw,100,43,9.61,0.49,1.39
blueberries raw,100,57,14.49,0.33,0.74
cranberries raw,100,46,11.97,0.13,0.46
cranberries cooked or canned,100,159,40.4,0.15,0.9
dewberries raw,100,43,9.61,0.49,1.39
huckleberries raw,100,57,14.49,0.33,0.74
loganberries raw,100,55,13.02,0.31,1.52
loganberries frozen,100,55,13.02,0.31,1.52
mulberries raw,100,43,9.8,0.39,1.44
raspberries raw,100,52,11.94,0.65,1.2
raspberries black raw,100,52,11.94,0.65,1.2
raspberries red raw,100,52,11.94,0.65,1.2
strawberries raw,100,32,7.68,0.3,0.67
youngberries raw,100,43,9.61,0.49,1.39
asparagus raw,100,20,3.88,0.12,2.2
kimchi,100,15,2.4,0.5,1.1
almond oil,100,884,0,100,0
corn oil,100,900,0,100,0
cottonseed oil,100,884,0,100,0
flaxseed oil,100,884,0,99.98,0.11
olive oil,100,884,0,100,0
peanut oil,100,884,0,100,0
rapeseed oil,100,884,0,100,0
canola and soybean oil,100,884,0,100,0
canola soybean and sunflower oil,100,884,0,100,0
safflower oil,100,884,0,100,0
soybean oil,100,884,0,100,0
soybean and sunflower oil,100,884,0,100,0
sunflower oil,100,884,0,100,0
walnut oil,100,884,0,100,0
mayonnaise light,100,238,9.23,22.22,0.37
mayonnaise reduced fat with olive oil,100,361,0,40,0.37
mayonnaisetype salad dressing light,100,158,16.4,10,0.65
coffee latte,100,43,4.27,1.68,2.76
coffee latte nonfat,100,30,4.4,0.1,2.82
coffee latte with nondairy milk,100,35,5.07,1.07,1.28
mojito,100,61,2.46,0.02,0.09
whiskey sour,100,123,16.11,0.08,0.08
whiskey and soda,100,59,0,0,0
whiskey and water,100,59,0,0,0
whiskey and cola,100,89,7.8,0.19,0
whiskey and diet cola,100,60,0.22,0.02,0.08
whiskey and ginger ale,100,83,6.59,0,0
rum and cola,100,89,7.8,0.19,0
rum and diet cola,100,60,0.22,0.02,0.08
pina colada,100,151,19.5,2.13,0.36
brandy and cola,100,89,7.8,0.19,0
vodka and soda,100,59,0,0,0
vodka and lemonade,100,93,9.02,0,0
vodka and cola,100,89,7.8,0.19,0
vodka and diet cola,100,60,0.22,0.02,0.08
vodka and energy drink,100,90,7.7,0,0.35
vodka and water,100,59,0,0,0
vodka and tonic,100,84,6.57,0,0
wine table red,100,85,2.61,0,0.07
wine table white,100,82,2.6,0,0.07
wine table rose,100,83,3.8,0,0.36
wine rice,100,134,5,0,0.5
wine dessert sweet,100,160,13.69,0,0.2
wine light,100,49,1.17,0,0.07
wine cooler,100,68,10.07,0,0
whiskey,100,231,0,0,0
scotch,100,231,0,0,0
gin,100,231,0,0,0
rum,100,231,0,0,0
rum cooler,100,68,10.07,0,0
vodka,100,231,0,0,0
tequila,100,231,0,0,0
markisa,100,97,23.38,0.7,2.2
kerang clams raw,100,86,3.57,0.96,14.67
lontong rice cake,100,392,81.1,4.3,7.1
