Nama Makanan,Ukuran Porsi,Kalori (kkal),Karbohidrat (g),Lemak (g),Protein (g),Kategori,is_seafood,is_peanut,is_dairy,protein_to_calorie_ratio,is_low_calorie,is_low_fat,is_low_carb,is_high_carb,is_high_protein,Kalori (kkal)_scaled,Karbohidrat (g)_scaled,Lemak (g)_scaled,Protein (g)_scaled,protein_to_calorie_ratio_scaled
Tofu Telur Veggie,100 g,85.71,4.29,4.29,8.57,Lauk,0,0,0,0.099988333,1,0,1,0,1,-1.04841671,-0.892711934,-0.216067957,0.071218035,1.086836374
Tempe,100 g,193,9.39,10.8,18.54,Lauk,0,0,0,0.096062176,0,0,1,0,1,-0.090961568,-0.443242082,0.504030476,0.940225556,1.036698585
Telur Dadar Atau Telur Orakarik Dengan Daging Babi Asap,100 g,184,1.48,13.05,14.22,Lauk,0,0,0,0.077282609,0,0,1,0,1,-0.154592867,-1.309617882,0.663982751,0.620458394,0.756669626
Telur Pitan,100 g,171,5.1,11,12.15,Lauk,0,0,0,0.071052632,0,0,1,0,1,-0.250321136,-0.80446,0.519382376,0.441334329,0.64688211
Kuning Telur,100 g,322,3.59,26.54,15.86,Lauk,0,0,0,0.049254658,0,0,1,0,0,0.656886044,-0.977364123,1.292139699,0.749310647,0.179513468
Nasi Goreng Spesial,100 g,230,22,13,7,Masakan,0,0,0,0.030434783,0,0,0,0,0,0.151411323,0.200689822,0.660703338,-0.12637661,-0.355722774
Aice Chocolate,100 g,90,14,4,2,Masakan,0,0,0,0.022222222,1,0,0,1,0,-0.9977331,-0.162571036,-0.265747556,-1.08045143,-0.637929491
Nata De Coco,100 g,66.67,16.44,0,0,Masakan,0,0,0,0,1,1,0,1,0,-1.296571747,-0.039181575,-1.634431737,-1.931501751,-1.592191924
Telur Asin,100 g,214.06,1.69,15.98,14.86,Lauk,0,0,0,0.069419789,0,0,1,0,1,0.050483468,-1.2688094,0.838942367,0.671974472,0.616528333
Roti Martabak,100 g,247,29.91,8.65,11.74,Snack,0,0,0,0.047530364,0,0,0,0,0,0.253975197,0.477221839,0.32116016,0.403274654,0.136152489
Salad Selada Dengan Telur Keju Tomat Dan Atau Wortel,100 g,52,3.14,3.14,3.33,Sayur,0,0,1,0.064038462,1,0,1,0,1,-1.522505027,-1.036923958,-0.431186771,-0.747310081,0.511540315
Telur Ayam Negeri Rendah Kolestrol,100 g,158.73,0,14.29,11.11,Lauk,0,0,0,0.06999307,0,0,1,0,1,-0.34528508,-1.710248162,0.741929799,0.342885433,0.627262744
Ayam Bawang Telur,100 g,480.52,58.44,23.38,7.79,Lauk,0,0,0,0.016211604,0,0,0,0,0,1.334696575,1.172171561,1.177039071,-0.023500882,-0.866558665
Pengganti Telur Cair,100 g,84,0.64,3.31,12,Lauk,0,0,0,0.142857143,1,0,1,0,1,-1.069093272,-1.504093777,-0.396025313,0.427518936,1.494379168
Sayur Campuran,100 g,60,13.09,0.15,2.86,Sayur,0,0,0,0.047666667,1,1,0,1,0,-1.394695653,-0.212369791,-1.519285188,-0.854521769,0.139618267
Sayuran Rebus Tanpa Daging,100 g,56,9.73,0.97,2.65,Lauk,0,0,0,0.047321429,1,1,1,1,0,-1.457078915,-0.419714388,-1.069314305,-0.905748131,0.130827004
Sayur Bening Bayam,100 g,36,7.64,0.37,1.79,Sayur,0,0,0,0.049722222,1,1,1,1,0,-1.824094957,-0.574187144,-1.374090027,-1.143216678,0.19109244
Sayuran Campur Matang Jagung Kacang Lima Kacang Polong Kacang Hijau Dan Wortel,100 g,81,12.74,2.12,2.78,Sayur,0,1,0,0.034320988,1,1,0,1,0,-1.10605994,-0.232151997,-0.676633157,-0.873773899,-0.233257857
Quail Egg,100 g,162.5,0.88,12.25,12.5,Masakan,0,0,0,0.076923077,0,0,1,0,1,-0.315596046,-1.442225041,0.61011885,0.473098217,0.750584066
Putih Telur,100 g,52,0.73,0.17,10.9,Lauk,0,0,0,0.209615385,1,1,1,0,1,-1.522505027,-1.480159981,-1.505032207,0.322210786,1.815109863
Telur Puyuh Rebus,100 g,157,0.41,11.05,13,Lauk,0,0,0,0.082802548,0,0,1,0,1,-0.359068113,-1.56997131,0.523182078,0.517378292,0.846466674
Telur Tomat,100 g,82,4.02,4.66,5.65,Sayur,0,0,0,0.068902439,1,0,1,0,1,-1.093637336,-0.924329875,-0.156338624,-0.322203663,0.606768569
Telur Ceplok,100 g,92,0.4,7.04,6.27,Lauk,0,0,0,0.068152174,1,0,1,0,1,-0.974657041,-1.573009347,0.156571144,-0.228749196,0.592491334
Telur Rebus,100 g,452.94,3.29,31.06,36.82,Lauk,0,0,0,0.08129112,0,0,1,0,1,1.229003014,-1.016564996,1.4365056,1.87485533,0.822543576
Telur Kukus,100 g,144,3.26,7.85,14.26,Lauk,0,0,0,0.099027778,0,0,1,0,1,-0.466063878,-1.020594533,0.242964748,0.623727196,1.074811441
Telur Ayam Kampung,100 g,140,1.67,9,13.67,Lauk,0,0,0,0.097642857,0,0,1,0,1,-0.500289168,-1.272593075,0.353436225,0.574817809,1.057200629
Martabak,100 g,315,40.6,14.65,8.15,Snack,0,0,0,0.025873016,0,0,0,0,0,0.622156438,0.777931063,0.763427147,0.020997903,-0.508384611
Salmon Kalengan,100 g,144,0,6.28,20.57,Masakan,1,0,0,0.142847222,0,0,1,0,1,-0.466063878,-1.710248162,0.067571868,1.071642409,1.494308688
Martabak Telur,100 g,185,18.52,7.68,9.9,Snack,0,0,0,0.053513514,0,0,0,0,1,-0.147420485,0.056354935,0.225478916,0.219661215,0.282245533
